video_id,publish_date,title,views,length,channel
q-XabQbK5fQ,2023-08-16,How did the Sanctions on Russia work? | Richard D. Wolff,99857,3262,https://www.youtube.com/@dialogueworks01
tbPGA5O7v_c,2023-08-31,This is a Historical Shift | Richard D. Wolff,232735,3506,https://www.youtube.com/@dialogueworks01
LTHUO7BAYa4,2023-09-09,The US Economic War on China and BRICS | Richard D. Wolff,212773,3196,https://www.youtube.com/@dialogueworks01
6SUblPDMY5U,2023-09-15,The G20 Summit Dominated by the Presence of an Absence | Richard D. Wolff,37058,1254,https://www.youtube.com/@dialogueworks01
ZKwgq1INMZo,2023-09-18,China's Hybrid Economic System and Its Achievements | Richard D. Wolff & Jeffrey Sachs,75163,1803,https://www.youtube.com/@dialogueworks01
OPDxUqud4Ug,2023-09-20,Obsolete Notions of Capitalism and Socialism | Richard D. Wolff,11101,704,https://www.youtube.com/@dialogueworks01
uXsl0kf-AUo,2023-09-30,BRICS and the Prospect of a Novel Reserve Currency | Richard D. Wolff,27584,1440,https://www.youtube.com/@dialogueworks01
JQ2P5yitPyE,2023-10-03,The UN's Dysfunction - Belt and Road Forum | Richard D. Wolff,27085,1181,https://www.youtube.com/@dialogueworks01
zHmzUl0HmPE,2023-10-09,Russia & China Sanctions: EU's Desperate Measures | Richard D. Wolff,64963,3054,https://www.youtube.com/@dialogueworks01
OhnFYzBtX88,2023-10-26,Proudly Ignorant | Richard D. Wolff,98621,2501,https://www.youtube.com/@dialogueworks01
ksGkDEuGenM,2023-11-02,Reversing Roles: When the Tail Leads the Dog | Richard D. Wolff,79398,3686,https://www.youtube.com/@dialogueworks01
dgq-uyvgeoM,2023-11-29,Clowns In Charge | Richard D. Wolff,96486,2960,https://www.youtube.com/@dialogueworks01
uS4ewq1R9ps,2023-12-07,Is China's Economy Collapsing? Economic War | Michael Hudson & Richard D. Wolff,112159,5297,https://www.youtube.com/@dialogueworks01
dhT7HOWRt50,2023-12-28,Neocon Debacle and Declining Empire | Richard D. Wolff,66759,3449,https://www.youtube.com/@dialogueworks01
v5CGEQrv0Lg,2024-01-11,Global Economy's Momentous Shift and Monumental Inequality | Richard D. Wolff & Michael Hudson,104162,5270,https://www.youtube.com/@dialogueworks01
ifnCakYJNVM,2024-01-19,Why does Russia produce more ammunition than the US? | Richard D. Wolff & Michael Hudson,95591,2095,https://www.youtube.com/@dialogueworks01
LAagE-7BLN4,2024-01-22,Why are China and Russia the US No. 1 Enemy? | Richard D. Wolff & Michael Hudson,98459,2704,https://www.youtube.com/@dialogueworks01
