video_id,publish_date,title,views,length,channel
bTnVECM81H0,2025-04-18,Prof. Michael Hudson: End of Globalization & Return of Economic Nationalism?,59059,2015,https://www.youtube.com/@GDiesen1
TYOQ7y9Gljo,2025-04-28,Richard Wolff: The Economic Collapse Has Already Begun,501731,3614,https://www.youtube.com/@GDiesen1
nWpHc_6Pqmc,2025-05-26,Richard Wolff: Why the Anti-Russian Sanctions Failed,244818,4103,https://www.youtube.com/@GDiesen1
DY5L0GEkQwU,2025-06-19,Michael Hudson: The Collapse of America's Economic Empire,184303,4189,https://www.youtube.com/@GDiesen1
kUYnIU91ri8,2025-06-24,Richard Wolff: The Economics of Collapsing Empires - Sanctions and Wars,195609,3488,https://www.youtube.com/@GDiesen1
8avSepk1qxw,2025-07-17,Michael Hudson: The Economics of a Civilizational Conflict,138619,3401,https://www.youtube.com/@GDiesen1
eVoPoX6KTXg,2025-07-31,Michael Hudson: EU Capitulation to the US & Geoeconomic Suicide,67001,3780,https://www.youtube.com/@GDiesen1
F1sJ3RycGCU,2025-08-06,Richard Wolff: Collapse of the Dollar & the Death of Europe,494066,3455,https://www.youtube.com/@GDiesen1
UZQ56sXQT0g,2025-09-02,Michael Hudson: Eurasian World Order - New Global Governance,115985,3323,https://www.youtube.com/@GDiesen1
_iLrbmPw2lc,2025-09-06,"Richard Wolff: US Empire in Collapse, China Builds Rival System",197726,3115,https://www.youtube.com/@GDiesen1
PCDcpc2UNTE,2025-09-20,Michael Hudson: Europe's Stockholm Syndrome,95894,3506,https://www.youtube.com/@GDiesen1
8yB1008CLis,2025-10-15,Michael Hudson: From Neoliberalism to Neofeudalism,75554,3247,https://www.youtube.com/@GDiesen1
6OQ4ZspXuII,2025-11-26,Richard Wolff: Europe's Irreversible Economic & Political Decline,82460,3021,https://www.youtube.com/@GDiesen1
QSm91_i_pPA,2025-12-11,Richard Wolff: New Economic Model for Post-Hegemony America,85779,2840,https://www.youtube.com/@GDiesen1
-FyVkdhJS3c,2025-12-15,Michael Hudson: The Economic Unravelling of the Political West,120020,3319,https://www.youtube.com/@GDiesen1
Pytk9xQNGdE,2026-01-02,Richard Wolff: The West's Pre-Revolutionary Moment has Arrived,169474,3762,https://www.youtube.com/@GDiesen1
ewOD-i8d9d0,2026-01-24,Richard Wolff: China Won the Economic War & the West Fragments,183841,3368,https://www.youtube.com/@GDiesen1
